Delta,Open Interest,Daily Volume,Bid,Ask,Strike,Bid,Ask,Daily Volume,Open Interest,Delta,Gamma,IV %,Price to ATM %
0.979301,5487.000000,23.000000,12.600000,12.690000,441.000000,0.040000,0.050000,7645.000000,21538.000000,-0.020151,0.008055,0.144230,0.031802
0.980489,4656.000000,405.000000,13.570000,13.680000,440.000000,0.040000,0.050000,3961.000000,22022.000000,-0.018964,0.007147,0.154380,0.031802
0.984662,4029.000000,18.000000,14.560000,14.710000,439.000000,0.030000,0.040000,549.000000,5734.000000,-0.014791,0.005624,0.158612,0.024735
0.985436,4371.000000,43.000000,15.560000,15.690000,438.000000,0.030000,0.040000,1316.000000,12038.000000,-0.014017,0.005059,0.168370,0.024735
0.986127,5123.000000,43.000000,16.140000,17.050000,437.000000,0.030000,0.040000,343.000000,6547.000000,-0.013326,0.004579,0.178083,0.024735
0.989687,4818.000000,12.000000,17.140000,18.040000,436.000000,0.030000,0.040000,18228.000000,7281.000000,-0.009766,0.003465,0.179647,0.024735
0.990125,3642.000000,77.000000,18.150000,19.030000,435.000000,0.020000,0.030000,2609.000000,16424.000000,-0.009328,0.003165,0.188956,0.017668
0.990523,3594.000000,38.000000,19.140000,20.020000,434.000000,0.020000,0.030000,2661.000000,10934.000000,-0.008930,0.002903,0.198237,0.017668
0.990887,1848.000000,63.000000,20.130000,21.040000,433.000000,0.020000,0.030000,291.000000,6352.000000,-0.008566,0.002675,0.207493,0.017668
0.991057,1609.000000,8.000000,20.630000,21.560000,432.500000,0.020000,0.030000,101.000000,3830.000000,-0.008396,0.002571,0.212112,0.017668
0.991220,2401.000000,21.000000,21.140000,22.060000,432.000000,0.020000,0.030000,262.000000,7932.000000,-0.008233,0.002473,0.216727,0.017668
0.991527,1987.000000,23.000000,22.140000,23.050000,431.000000,0.020000,0.030000,219.000000,4645.000000,-0.007926,0.002294,0.225940,0.017668
0.991810,5501.000000,40.000000,23.130000,24.040000,430.000000,0.020000,0.030000,649.000000,12056.000000,-0.007643,0.002135,0.235137,0.017668
0.992073,1368.000000,3.000000,23.490000,24.120000,429.000000,0.020000,0.030000,66.000000,2907.000000,-0.007380,0.001992,0.244317,0.017668
0.992317,1103.000000,114.000000,25.130000,26.050000,428.000000,0.020000,0.030000,146.000000,3575.000000,-0.007136,0.001864,0.253485,0.017668
0.992433,950.000000,3.000000,25.630000,26.530000,427.500000,0.020000,0.030000,14.000000,4327.000000,-0.007020,0.001805,0.258063,0.017668
0.992545,1517.000000,38.000000,26.120000,26.980000,427.000000,0.020000,0.030000,601.000000,3162.000000,-0.006908,0.001748,0.262640,0.017668
0.992759,2151.000000,84.000000,26.300000,27.050000,426.000000,0.020000,0.030000,49.000000,3055.000000,-0.006694,0.001643,0.271784,0.017668
0.992958,3420.000000,65.000000,28.120000,29.010000,425.000000,0.020000,0.030000,198.000000,7824.000000,-0.006495,0.001548,0.280920,0.017668
0.993146,1113.000000,20.000000,28.390000,29.110000,424.000000,0.030000,0.040000,325.000000,1530.000000,-0.006307,0.001461,0.290048,0.024735
0.993323,1207.000000,4.000000,29.800000,30.450000,423.000000,0.020000,0.030000,4473.000000,8084.000000,-0.006130,0.001381,0.299170,0.017668
0.993407,671.000000,3.000000,30.620000,31.530000,422.500000,0.020000,0.030000,93.000000,1230.000000,-0.006046,0.001344,0.303729,0.017668
0.993490,1628.000000,7.000000,31.120000,31.990000,422.000000,0.020000,0.030000,39.000000,2073.000000,-0.005963,0.001308,0.308286,0.017668
0.993647,1195.000000,3.000000,32.080000,33.030000,421.000000,0.020000,0.030000,276.000000,15766.000000,-0.005806,0.001241,0.317398,0.017668
0.995722,4231.000000,70.000000,33.110000,34.010000,420.000000,0.010000,0.020000,1032.000000,26967.000000,-0.003731,0.000859,0.308907,0.010601
0.993938,1232.000000,1.000000,34.110000,35.010000,419.000000,0.020000,0.030000,45.000000,2181.000000,-0.005515,0.001121,0.335614,0.017668
0.995906,985.000000,8.000000,35.080000,36.000000,418.000000,0.010000,0.020000,82.000000,7823.000000,-0.003546,0.000777,0.326310,0.010601
0.995950,779.000000,4.000000,35.610000,36.500000,417.500000,0.010000,0.020000,1.000000,2601.000000,-0.003503,0.000758,0.330661,0.010601
0.995992,1060.000000,12.000000,35.600000,36.560000,417.000000,0.010000,0.020000,5.000000,8150.000000,-0.003461,0.000741,0.335012,0.010601
0.996073,1095.000000,16.000000,37.080000,38.000000,416.000000,0.010000,0.020000,19.000000,4404.000000,-0.003380,0.000707,0.343716,0.010601
0.996151,2660.000000,962.000000,38.080000,39.000000,415.000000,0.010000,0.020000,137.000000,12289.000000,-0.003302,0.000675,0.352422,0.010601
0.996225,1220.000000,3.000000,39.090000,40.020000,414.000000,0.010000,0.020000,5.000000,3474.000000,-0.003228,0.000645,0.361130,0.010601
0.996295,1371.000000,37.000000,40.110000,41.010000,413.000000,0.010000,0.020000,7.000000,8632.000000,-0.003158,0.000618,0.369843,0.010601
0.996329,812.000000,11.000000,40.600000,41.520000,412.500000,0.010000,0.020000,33.000000,1473.000000,-0.003123,0.000605,0.374200,0.010601
0.996363,981.000000,6.000000,41.100000,42.010000,412.000000,0.010000,0.020000,11.000000,2356.000000,-0.003090,0.000592,0.378559,0.010601
0.996428,534.000000,5.000000,41.410000,42.060000,411.000000,0.010000,0.020000,22.000000,9692.000000,-0.003025,0.000568,0.387280,0.010601
0.996490,1590.000000,18.000000,43.060000,43.950000,410.000000,0.010000,0.020000,645.000000,9323.000000,-0.002963,0.000545,0.396006,0.010601
0.996549,485.000000,4.000000,44.100000,44.980000,409.000000,0.010000,0.020000,5.000000,1881.000000,-0.002904,0.000523,0.404737,0.010601
0.996606,311.000000,2.000000,45.100000,46.010000,408.000000,0.010000,0.020000,10.000000,3168.000000,-0.002847,0.000503,0.413475,0.010601
0.996661,41.000000,1.000000,46.050000,47.000000,407.000000,0.010000,0.020000,3.000000,1628.000000,-0.002792,0.000484,0.422219,0.010601
0.996714,148.000000,4.000000,47.070000,47.980000,406.000000,0.010000,0.020000,11.000000,1401.000000,-0.002739,0.000466,0.430970,0.010601
0.996765,2800.000000,20.000000,48.100000,48.970000,405.000000,0.010000,0.020000,19.000000,10367.000000,-0.002688,0.000449,0.439729,0.010601
0.996814,,,49.090000,49.990000,404.000000,0.010000,0.020000,50.000000,4138.000000,-0.002639,0.000433,0.448495,0.010601
0.996861,160.000000,1.000000,50.110000,50.940000,403.000000,0.010000,0.020000,51.000000,2452.000000,-0.002592,0.000418,0.457270,0.010601
0.996907,386.000000,1.000000,51.090000,52.000000,402.000000,0.010000,0.020000,19.000000,3058.000000,-0.002546,0.000404,0.466053,0.010601
0.996951,,,52.090000,52.980000,401.000000,0.010000,0.020000,15.000000,108.000000,-0.002502,0.000390,0.474845,0.010601
0.996993,5912.000000,73.000000,53.080000,53.970000,400.000000,0.010000,0.020000,326.000000,10396.000000,-0.002460,0.000377,0.483646,0.010601
0.997034,,,53.320000,53.950000,399.000000,0.010000,0.020000,43.000000,237.000000,-0.002418,0.000365,0.492457,0.010601
0.997074,19.000000,1.000000,55.050000,55.980000,398.000000,0.010000,0.020000,310.000000,547.000000,-0.002379,0.000353,0.501279,0.010601
0.997113,,,56.080000,56.980000,397.000000,0.000000,0.010000,56.000000,25.000000,-0.002340,0.000342,0.510110,
0.998543,14.000000,1.000000,57.090000,57.990000,396.000000,0.000000,0.010000,11.000000,2378.000000,-0.000910,0.000156,0.470869,
0.998557,245.000000,13.000000,58.080000,59.000000,395.000000,0.000000,0.010000,248.000000,7130.000000,-0.000896,0.000151,0.479015,
0.998571,,,58.350000,59.070000,394.000000,0.000000,0.010000,1.000000,1517.000000,-0.000882,0.000147,0.487173,
0.998585,50.000000,50.000000,59.250000,59.990000,393.000000,0.000000,0.010000,1.000000,515.000000,-0.000868,0.000142,0.495342,
0.998598,,,61.080000,61.980000,392.000000,0.000000,0.010000,4.000000,4149.000000,-0.000855,0.000138,0.503524,
0.998611,,,62.050000,62.980000,391.000000,0.000000,0.010000,2239.000000,196.000000,-0.000842,0.000134,0.511718,
0.998624,,,63.070000,63.990000,390.000000,0.000000,0.010000,16.000000,7999.000000,-0.000829,0.000130,0.519925,
0.998636,,,64.050000,64.990000,389.000000,0.000000,0.010000,3.000000,900.000000,-0.000817,0.000126,0.528145,
0.998648,3.000000,1.000000,65.070000,65.970000,388.000000,0.000000,0.010000,7.000000,1259.000000,-0.000805,0.000123,0.536378,
0.998659,,,66.070000,66.960000,387.000000,0.000000,0.010000,258.000000,0.000000,-0.000793,0.000119,0.544624,
0.998671,,,67.030000,67.950000,386.000000,0.000000,0.010000,3.000000,764.000000,-0.000782,0.000116,0.552884,
0.998682,105.000000,19.000000,68.070000,68.970000,385.000000,0.000000,0.010000,16.000000,5375.000000,-0.000771,0.000113,0.561157,
0.998692,,,69.070000,69.990000,384.000000,0.000000,0.010000,50.000000,670.000000,-0.000761,0.000110,0.569445,
0.998703,,,70.070000,70.980000,383.000000,0.000000,0.010000,3.000000,1512.000000,-0.000750,0.000107,0.577746,
0.998713,2.000000,2.000000,71.070000,71.980000,382.000000,0.000000,0.010000,12.000000,1915.000000,-0.000740,0.000104,0.586062,
0.998722,,,72.100000,72.950000,381.000000,0.000000,0.010000,225.000000,5.000000,-0.000730,0.000101,0.594393,
0.998732,80.000000,1.000000,73.080000,73.990000,380.000000,0.000000,0.010000,38.000000,38091.000000,-0.000721,0.000099,0.602739,
0.998741,,,74.070000,74.980000,379.000000,0.000000,0.010000,65.000000,1.000000,-0.000711,0.000096,0.611099,
0.998751,,,75.010000,75.940000,378.000000,0.000000,0.010000,120.000000,676.000000,-0.000702,0.000094,0.619475,
0.998759,,,76.120000,76.980000,377.000000,0.010000,0.020000,17.000000,342.000000,-0.000693,0.000091,0.627867,0.010601
0.998768,,,77.010000,77.950000,376.000000,0.000000,0.010000,5.000000,32.000000,-0.000685,0.000089,0.636274,
0.998777,33.000000,36.000000,78.030000,78.970000,375.000000,0.000000,0.010000,35.000000,3487.000000,-0.000676,0.000087,0.644697,
0.998785,,,79.010000,79.990000,374.000000,0.000000,0.010000,1.000000,0.000000,-0.000668,0.000085,0.653136,
0.998793,,,80.030000,80.950000,373.000000,0.010000,0.020000,90.000000,165.000000,-0.000660,0.000083,0.661591,0.010601
0.998801,,,81.060000,81.970000,372.000000,0.000000,0.010000,2.000000,29.000000,-0.000652,0.000081,0.670062,
0.998809,,,82.070000,82.950000,371.000000,0.000000,0.010000,212.000000,252.000000,-0.000644,0.000079,0.678551,
0.998816,1.000000,3.000000,83.050000,83.960000,370.000000,0.000000,0.010000,16.000000,3179.000000,-0.000637,0.000077,0.687056,
0.998852,,,88.040000,88.830000,365.000000,0.000000,0.010000,6.000000,72005.000000,-0.000601,0.000069,0.729840,
0.998884,4.000000,1.000000,93.040000,93.950000,360.000000,0.000000,0.010000,8.000000,37061.000000,-0.000569,0.000062,0.773073,
0.998913,65.000000,2.000000,98.040000,98.900000,355.000000,0.000000,0.010000,30.000000,3609.000000,-0.000540,0.000056,0.816778,
0.998939,,,103.010000,103.950000,350.000000,0.000000,0.010000,14.000000,36444.000000,-0.000513,0.000050,0.860978,
0.998964,,,108.030000,108.960000,345.000000,0.000000,0.010000,,79401.000000,-0.000489,0.000046,0.905695,
0.998986,1.000000,1.000000,113.030000,113.940000,340.000000,0.000000,0.010000,45.000000,6180.000000,-0.000467,0.000042,0.950954,
0.999007,,,117.980000,118.950000,335.000000,0.000000,0.010000,,536.000000,-0.000446,0.000038,0.996776,
0.999026,3.000000,1.000000,122.980000,123.940000,330.000000,0.000000,0.010000,10.000000,35653.000000,-0.000427,0.000035,1.043187,
0.999043,0.000000,100.000000,127.980000,128.910000,325.000000,0.000000,0.010000,6.000000,1661.000000,-0.000409,0.000032,1.090211,
0.999060,3.000000,1.000000,132.210000,132.790000,320.000000,0.000000,0.010000,50.000000,2174.000000,-0.000393,0.000030,1.137871,
0.999075,,,138.000000,138.930000,315.000000,0.000000,0.010000,219.000000,587.000000,-0.000378,0.000028,1.186195,
0.999090,10.000000,8.000000,142.990000,143.910000,310.000000,0.000000,0.010000,,1443.000000,-0.000363,0.000025,1.235209,
0.999103,,,147.990000,148.880000,305.000000,0.000000,0.010000,670.000000,1879.000000,-0.000349,0.000024,1.284940,
0.999116,101.000000,100.000000,152.950000,153.910000,300.000000,0.000000,0.010000,1.000000,2495.000000,-0.000337,0.000022,1.335416,
